,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_29_6,3530,2470,2,2m0,EMPTY,,
_30_6,3560,2440,2,2m0,EMPTY,,
_31_6,3565,2435,2,2m0,EMPTY,,
_32_6,3695,2305,2,2m0,EMPTY,,
_33_6,4080,1920,2,1m5,EMPTY,,
_34_6,4330,1670,2,1m5,EMPTY,,
_35_6,4340,1660,2,1m5,EMPTY,,
_36_6,4380,1620,2,1m5,EMPTY,,
_37_6,4415,1585,2,1m5,EMPTY,,
_38_6,4560,1440,2,1m0,EMPTY,,
_39_6,4585,1415,2,1m0,EMPTY,,
_40_6,4880,1120,2,1m0,EMPTY,,
_41_6,4935,1065,2,1m0,EMPTY,,
_42_6,4985,1015,2,1m0,EMPTY,,
_43_6,5025,975,2,,,,
_44_6,5135,865,2,,,,
_45_6,5165,835,2,,,,
_46_6,5165,835,2,,,,
_47_6,5210,790,2,,,,
_48_6,5210,790,2,,,,
_49_6,5260,740,2,,,,
_50_6,5325,675,2,,,,
_51_6,5335,665,2,,,,
_52_6,5440,560,2,,,,
_53_6,5495,505,2,,,,
_54_6,5530,470,2,,,,
_55_6,5530,470,2,,,,
_56_6,5535,465,2,,,,
_57_6,5555,445,2,,,,
_58_6,5555,445,2,,,,
_59_6,5570,430,2,,,,
_6_60,5570,430,2,,,,
_6_61,5570,430,2,,,,
_6_62,5615,385,2,,,,
_6_63,5705,295,2,,,,
_6_64,5715,285,2,,,,
_6_65,5800,200,2,,,,
_6_66,5860,140,2,,,,
_6_67,5860,140,2,,,,
_6_68,5860,140,2,,,,
_6_69,5860,140,2,,,,
_6_70,5860,140,2,,,,
_6_71,5860,140,2,,,,
_6_72,5860,140,2,,,,
_6_73,5860,140,2,,,,
_6_74,5860,140,2,,,,
_7_8,2080,3920,2,3m5,EMPTY,2m5,EMPTY
_7_9,2305,3695,2,3m5,EMPTY,2m5,EMPTY
_10_7,2455,3545,2,3m5,EMPTY,2m5,EMPTY
_11_7,2455,3545,2,3m5,EMPTY,2m5,EMPTY
_12_7,2455,3545,2,3m5,EMPTY,2m5,EMPTY
_13_7,2455,3545,2,3m5,EMPTY,2m5,EMPTY
_14_7,2455,3545,2,3m5,EMPTY,2m5,EMPTY
