mini,maxi,qtt,status,name,day,seq_name
1500,2000,1,CRIT_EMPTY,1m5,18,8m
2000,2500,6,OPEN,2m0,18,8m
2500,3000,16,OPEN,2m5,18,8m
3000,3500,1,CRIT_EMPTY,3m0,18,8m
3500,4000,1,CRIT_EMPTY,3m5,18,8m
1000,1500,25,FULL,1m0,18,7m
1500,2000,24,CRIT_FULL,1m5,18,7m
2000,2500,2,CRIT_EMPTY,2m0,18,7m
2500,3000,19,OPEN,2m5,18,7m
3000,3500,4,CRIT_EMPTY,3m0,18,7m
3500,4000,2,CRIT_EMPTY,3m5,18,7m
1000,1500,25,FULL,1m0,18,6m
1500,2000,21,CRIT_FULL,1m5,18,6m
2000,2500,14,OPEN,2m0,18,6m
2500,3000,6,OPEN,2m5,18,6m
3000,3500,3,CRIT_EMPTY,3m0,18,6m
3500,4000,0,EMPTY,3m5,18,6m
1000,1250,10,FULL,1m0,18,SS
1250,1500,10,FULL,1m25,18,SS
1500,1750,10,FULL,1m5,18,SS
1750,2000,10,FULL,1m75,18,SS
2000,2250,4,OPEN,2m0,18,SS
2250,2500,5,OPEN,2m25,18,SS
2500,2750,1,CRIT_EMPTY,2m5,18,SS
2750,3000,0,EMPTY,2m75,18,SS
3000,3250,5,OPEN,3m0,18,SS
3250,3500,2,OPEN,3m25,18,SS
3500,3750,0,EMPTY,3m5,18,SS
3750,4000,0,EMPTY,3m75,18,SS
1000,1500,8,OPEN,1m0,19,8m
1500,2000,1,CRIT_EMPTY,1m5,19,8m
